"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GO.Term","GO.Slim.Term","Cat","gene","uniprot","uniprot_taxa.id","uniprot.name","TP"
"109","GO:0070830",0.0435779748558462,0.993332199033497,3,11,"bicellular tight junction assembly","BP","","cell organization and biogenesis","None","PGEN_.00g017050; PGEN_.00g057650; PGEN_.00g269010","Q5RDQ2; Q28205; Q8TEW0","MPP5_PONAB; TBCD_BOVIN; PARD3_HUMAN","MAGUK p55 subfamily member 5; Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)","Day135"
"110","GO:0022604",0.0439415217219145,0.992781973325579,3,16,"regulation of cell morphogenesis","BP","regulation of cell morphogenesis","cell organization and biogenesis","P","PGEN_.00g206990; PGEN_.00g301440; PGEN_.00g223270","Q5SVZ6; Q5T5Y3; Q803T2","ZMYM1_HUMAN; CAMP1_HUMAN; STRP1_DANRE","Zinc finger MYM-type protein 1; Calmodulin-regulated spectrin-associated protein 1; Striatin-interacting protein 1 homolog","Day135"
"111","GO:0030502",0.00833616201039215,1,2,2,"negative regulation of bone mineralization","BP","negative regulation of bone mineralization","developmental processes","P","PGEN_.00g252700; PGEN_.00g232320","Q9ESQ5; Q8CGN4","TRPM4_RAT; BCOR_MOUSE","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2); BCL-6 corepressor (BCoR)","Day135"
"112","GO:0060740",0.00946266255953276,0.999812550463054,2,3,"prostate gland epithelium morphogenesis","BP","","developmental processes","","PGEN_.00g149640; PGEN_.00g242340","Q80YX1; Q01705","TENA_MOUSE; NOTC1_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]","Day135"
"113","GO:0048709",0.0160493201933898,0.998336192573799,3,11,"oligodendrocyte differentiation","BP","oligodendrocyte differentiation","developmental processes","P","PGEN_.00g047880; PGEN_.00g242340; PGEN_.00g009140","P57103; Q01705; Q8BYM5","NAC3_HUMAN; NOTC1_MOUSE; NLGN3_MOUSE","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3); Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Neuroligin-3 (Gliotactin homolog)","Day135"
"114","GO:0048667",0.0181524264842226,0.999489955154046,2,3,"cell morphogenesis involved in neuron differentiation","BP","cell morphogenesis involved in neuron differentiation","developmental processes","P","PGEN_.00g057650; PGEN_.00g232390","Q28205; Q90600","TBCD_BOVIN; RB_CHICK","Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D); Retinoblastoma-associated protein (p104) (pRb) (Rb)","Day135"
"115","GO:0010832",0.0240850971576292,0.997154322432863,3,10,"negative regulation of myotube differentiation","BP","negative regulation of myotube differentiation","developmental processes","P","PGEN_.00g242340; PGEN_.00g264510; PGEN_.00g105500","Q01705; P83038; P06731","NOTC1_MOUSE; HDAC4_CHICK; CEAM5_HUMAN","Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Histone deacetylase 4 (HD4) (EC 3.5.1.98); Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen) (CEA) (Meconium antigen 100) (CD antigen CD66e)","Day135"
"116","GO:0060027",0.0253734067261233,0.999143470965375,2,3,"convergent extension involved in gastrulation","BP","convergent extension involved in gastrulation","developmental processes","P","PGEN_.00g111560; PGEN_.00g036790","Q90Z05; Q08BI9","VNG2B_XENLA; MCU_DANRE","Vang-like protein 2-B (Protein strabismus-B) (Van Gogh-like protein 2-B) (Xstrabismus-B) (Xstbm-B); Calcium uniporter protein, mitochondrial","Day135"
"117","GO:0021587",0.028509965517928,0.998205491334578,2,6,"cerebellum morphogenesis","BP","cerebellum morphogenesis","developmental processes","P","PGEN_.00g134810; PGEN_.00g010620","P18887; O75581","XRCC1_HUMAN; LRP6_HUMAN","DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1); Low-density lipoprotein receptor-related protein 6 (LRP-6)","Day135"
"118","GO:0001890",0.0307274902570102,0.995705810367314,3,14,"placenta development","BP","placenta development","developmental processes","P","PGEN_.00g211830; PGEN_.00g020710; PGEN_.00g272660","P16056; Q13686; Q13490","MET_MOUSE; ALKB1_HUMAN; BIRC2_HUMAN","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)","Day135"
"119","GO:0035116",0.0345431203240102,0.997771908088973,2,5,"embryonic hindlimb morphogenesis","BP","embryonic hindlimb morphogenesis","developmental processes","P","PGEN_.00g242340; PGEN_.00g173900","Q01705; Q8CG73","NOTC1_MOUSE; FTM_MOUSE","Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)","Day135"
"120","GO:0031175",0.0398142647547406,0.986135129543044,7,56,"neuron projection development","BP","neuron projection development","developmental processes","P","PGEN_.00g149640; PGEN_.00g232390; PGEN_.00g301440; PGEN_.00g234980; PGEN_.00g020710; PGEN_.00g050270; PGEN_.00g101900","Q80YX1; Q90600; Q5T5Y3; Q15262; Q13686; P59759; P35822","TENA_MOUSE; RB_CHICK; CAMP1_HUMAN; PTPRK_HUMAN; ALKB1_HUMAN; MRTFB_MOUSE; PTPRK_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Retinoblastoma-associated protein (p104) (pRb) (Rb); Calmodulin-regulated spectrin-associated protein 1; Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48); Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Myocardin-related transcription factor B (MRTF-B) (MKL/myocardin-like protein 2); Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)","Day135"
"121","GO:0002051",0.0419837999983979,1,1,1,"osteoblast fate commitment","BP","osteoblast fate commitment","developmental processes","P","PGEN_.00g242340","Q01705","NOTC1_MOUSE","Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]","Day135"
"122","GO:0060447",0.0480750547672736,1,1,1,"bud outgrowth involved in lung branching","BP","bud outgrowth involved in lung branching","developmental processes","P","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)","Day135"
"123","GO:0060739",0.0480750547672736,1,1,1,"mesenchymal-epithelial cell signaling involved in prostate gland development","BP","mesenchymal-epithelial cell signaling involved in prostate gland development","developmental processes","P","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)","Day135"
"124","GO:0080111",0.00479520240475127,0.99993354196357,2,3,"DNA demethylation","BP","DNA demethylation","DNA metabolism","P","PGEN_.00g020710; PGEN_.00g131030","Q13686; Q9NXW9","ALKB1_HUMAN; ALKB4_HUMAN","Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-); Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)","Day135"
"125","GO:0051660",0.00644884163960798,1,2,2,"establishment of centrosome localization","BP","establishment of centrosome localization","other biological processes","P","PGEN_.00g037350; PGEN_.00g269010","Q13257; Q8TEW0","MD2L1_HUMAN; PARD3_HUMAN","Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)","Day135"
"126","GO:0055013",0.00945450511311179,0.999737066926822,2,4,"cardiac muscle cell development","BP","cardiac muscle cell development","other biological processes","P","PGEN_.00g211830; PGEN_.00g085220","P16056; P82349","MET_MOUSE; SGCB_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG)","Day135"
"127","GO:0070293",0.0142578202452278,0.999648428123615,2,3,"renal absorption","BP","renal absorption","other biological processes","P","PGEN_.00g076930; PGEN_.00g065950","P70057; O73925","KCNQ1_XENLA; KCNQ1_SQUAC","Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)","Day135"
"128","GO:0001763",0.0207618428676412,0.999121531963262,2,4,"morphogenesis of a branching structure","BP","morphogenesis of a branching structure","other biological processes","P","PGEN_.00g325600; PGEN_.00g076410","Q99466; Q60636","NOTC4_HUMAN; PRDM1_MOUSE","Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]; PR domain zinc finger protein 1 (EC 2.1.1.-) (B lymphocyte-induced maturation protein 1) (Blimp-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1)","Day135"
"129","GO:0045165",0.0310206383788323,0.993851248720062,4,20,"cell fate commitment","BP","cell fate commitment","other biological processes","P","PGEN_.00g208580; PGEN_.00g204470; PGEN_.00g242340; PGEN_.00g076410","Q3L254; P41221; Q01705; Q60636","WNT7B_CHICK; WNT5A_HUMAN; NOTC1_MOUSE; PRDM1_MOUSE","Protein Wnt-7b; Protein Wnt-5a; Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; PR domain zinc finger protein 1 (EC 2.1.1.-) (B lymphocyte-induced maturation protein 1) (Blimp-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1)","Day135"
"130","GO:0060760",0.0360742157348193,0.99761678696511,2,5,"positive regulation of response to cytokine stimulus","BP","","other biological processes","None","PGEN_.00g204470; PGEN_.00g256280","P41221; O95786","WNT5A_HUMAN; DDX58_HUMAN","Protein Wnt-5a; Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)","Day135"
"131","GO:0050892",0.0368210396679225,0.9973342921448,2,6,"intestinal absorption","BP","intestinal absorption","other biological processes","P","PGEN_.00g076930; PGEN_.00g065950","P70057; O73925","KCNQ1_XENLA; KCNQ1_SQUAC","Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1); Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)","Day135"
"132","GO:0032880",0.0382886989428629,0.989975773810076,5,27,"regulation of protein localization","BP","regulation of protein localization","other biological processes","P","PGEN_.00g083720; PGEN_.00g279870; PGEN_.00g290440; PGEN_.00g033560; PGEN_.00g087190","Q60949; P00522; Q91V41; Q922B6; O75592","TBCD1_MOUSE; ABL_DROME; RAB14_MOUSE; TRAF7_MOUSE; MYCB2_HUMAN","TBC1 domain family member 1; Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson); Ras-related protein Rab-14; E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7); E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)","Day135"
"133","GO:0007599",0.0404984098526356,1,1,1,"hemostasis","BP","hemostasis","other biological processes","P","PGEN_.00g043300","Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)","Day135"
"134","GO:0045446",0.0404984098526356,1,1,1,"endothelial cell differentiation","BP","endothelial cell differentiation","other biological processes","P","PGEN_.00g165230","Q8IWY4","SCUB1_HUMAN","Signal peptide, CUB and EGF-like domain-containing protein 1","Day135"
"135","GO:0051413",0.0405842309062199,1,1,1,"response to cortisone","BP","response to cortisone stimulus","other biological processes","P","PGEN_.00g079760","P23780","BGAL_MOUSE","Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase)","Day135"
"136","GO:0002724",0.0408633397187489,1,1,1,"regulation of T cell cytokine production","BP","regulation of T cell cytokine production","other biological processes","P","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)","Day135"
"137","GO:0014812",0.0417375463199372,1,1,1,"muscle cell migration","BP","muscle cell migration","other biological processes","P","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)","Day135"
"138","GO:0016458",0.0114553511482458,0.999748789306841,2,3,"gene silencing","BP","gene silencing","other metabolic processes","P","PGEN_.00g150440; PGEN_.00g070460","Q6ZRS2; Q96GD3","SRCAP_HUMAN; SCMH1_HUMAN","Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator); Polycomb protein SCMH1 (Sex comb on midleg homolog 1)","Day135"
"139","GO:0042417",0.0362848681303365,0.994740454265986,3,12,"dopamine metabolic process","BP","dopamine metabolic process","other metabolic processes","P","PGEN_.00g164020; PGEN_.00g148340; PGEN_.00g278670","P16066; P16066; P18293","ANPRA_HUMAN; ANPRA_HUMAN; ANPRA_MOUSE","Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A); Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)","Day135"
"140","GO:0042775",0.0405041459243401,1,1,1,"mitochondrial ATP synthesis coupled electron transport","BP","mitochondrial ATP synthesis coupled electron transport","other metabolic processes","P","PGEN_.00g119300","Q641Y2","NDUS2_RAT","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)","Day135"
"141","GO:0032923",0.0405060609710242,1,1,1,"organic phosphonate biosynthetic process","BP","phosphonate biosynthetic process","other metabolic processes","P","PGEN_.00g133110","P56839","PEPM_MYTED","Phosphoenolpyruvate phosphomutase (PEP mutase) (PEP phosphomutase) (Phosphoenolpyruvate mutase) (EC 5.4.2.9)","Day135"
"142","GO:0009710",0.0405116348598385,1,1,1,"tropane alkaloid biosynthetic process","BP","tropane alkaloid biosynthetic process","other metabolic processes","P","PGEN_.00g279140","P50164","TRN2_HYONI","Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)","Day135"
"143","GO:0019391",0.0406530694573685,1,1,1,"glucuronoside catabolic process","BP","glucuronoside catabolic process","other metabolic processes","P","PGEN_.00g142400","Q4FAT7","BGLR_PIG","Beta-glucuronidase (EC 3.2.1.31)","Day135"
"144","GO:0034638",0.0430755390667392,1,1,1,"phosphatidylcholine catabolic process","BP","phosphatidylcholine catabolic process","other metabolic processes","P","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)","Day135"
"145","GO:0046338",0.0430755390667392,1,1,1,"phosphatidylethanolamine catabolic process","BP","phosphatidylethanolamine catabolic process","other metabolic processes","P","PGEN_.00g169510","Q8NCC3","PAG15_HUMAN","Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2)","Day135"
"146","GO:0019413",0.0437487253565131,1,1,1,"acetate biosynthetic process","BP","acetate biosynthetic process","other metabolic processes","P","PGEN_.00g013580","Q99NB1","ACS2L_MOUSE","Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)","Day135"
"147","GO:0019427",0.0437487253565131,1,1,1,"acetyl-CoA biosynthetic process from acetate","BP","acetyl-CoA biosynthetic process from acetate","other metabolic processes","P","PGEN_.00g013580","Q99NB1","ACS2L_MOUSE","Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)","Day135"
"148","GO:0019542",0.0437487253565131,1,1,1,"propionate biosynthetic process","BP","propionate biosynthetic process","other metabolic processes","P","PGEN_.00g013580","Q99NB1","ACS2L_MOUSE","Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)","Day135"
"149","GO:0070221",0.0495105577417459,1,1,1,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP","sulfide oxidation, using sulfide:quinone oxidoreductase","other metabolic processes","P","PGEN_.00g150990","Q9Y6N5","SQOR_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)","Day135"
"150","GO:0001868",0.0258264548613731,0.998579196530525,2,5,"regulation of complement activation, lectin pathway","BP","regulation of complement activation, lectin pathway","protein metabolism","P","PGEN_.00g263790; PGEN_.00g302590","Q9I926; Q9I925","FUCL6_ANGJA; FUCL7_ANGJA","Fucolectin-6; Fucolectin-7","Day135"
"151","GO:0010801",0.0298647917688398,0.998221613245722,2,5,"negative regulation of peptidyl-threonine phosphorylation","BP","negative regulation of peptidyl-threonine phosphorylation","protein metabolism","P","PGEN_.00g211830; PGEN_.00g269010","P16056; Q8TEW0","MET_MOUSE; PARD3_HUMAN","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)","Day135"
"152","GO:0035278",0.0323411923621789,0.997819479309335,2,6,"miRNA mediated inhibition of translation","BP","gene silencing by miRNA, negative regulation of translation","protein metabolism","P","PGEN_.00g309470; PGEN_.00g325600","Q9UKV8; Q99466","AGO2_HUMAN; NOTC4_HUMAN","Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer); Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]","Day135"
"153","GO:0033235",0.0332261009279076,0.998181496887829,2,4,"positive regulation of protein sumoylation","BP","positive regulation of protein sumoylation","protein metabolism","P","PGEN_.00g033560; PGEN_.00g264510","Q922B6; P83038","TRAF7_MOUSE; HDAC4_CHICK","E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7); Histone deacetylase 4 (HD4) (EC 3.5.1.98)","Day135"
"154","GO:0006351",0.0261375883411199,0.993681791044771,5,34,"transcription, DNA-templated","BP","transcription, DNA-dependent","RNA metabolism","P","PGEN_.00g009310; PGEN_.00g040360; PGEN_.00g207680; PGEN_.00g312300; PGEN_.00g014630","P48380; Q8I8U7; Q6P8G1; Q9BTC0; Q6ZPV2","RFX3_HUMAN; TRA1_DROME; ILF2_XENTR; DIDO1_HUMAN; INO80_MOUSE","Transcription factor RFX3 (Regulatory factor X 3); Transcription-associated protein 1 (dTRA1); Interleukin enhancer-binding factor 2 homolog; Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1); Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80)","Day135"
"155","GO:0007221",0.0293240179868406,0.998271176951342,2,5,"positive regulation of transcription of Notch receptor target","BP","positive regulation of transcription of Notch receptor target","RNA metabolism","P","PGEN_.00g242340; PGEN_.00g325600","Q01705; Q99466","NOTC1_MOUSE; NOTC4_HUMAN","Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]; Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]","Day135"
"156","GO:0002101",0.0406329669916711,1,1,1,"tRNA wobble cytosine modification","BP","tRNA wobble cytosine modification","RNA metabolism","P","PGEN_.00g020710","Q13686","ALKB1_HUMAN","Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)","Day135"
"157","GO:0042245",0.0406329669916711,1,1,1,"RNA repair","BP","RNA repair","RNA metabolism","P","PGEN_.00g020710","Q13686","ALKB1_HUMAN","Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-)","Day135"
"158","GO:0007223",0.0221924456686716,0.999026462083394,2,4,"Wnt signaling pathway, calcium modulating pathway","BP","Wnt receptor signaling pathway, calcium modulating pathway","signal transduction","P","PGEN_.00g204470; PGEN_.00g309470","P41221; Q9UKV8","WNT5A_HUMAN; AGO2_HUMAN","Protein Wnt-5a; Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)","Day135"
"159","GO:0019933",0.0371683580542198,0.992198547631101,4,20,"cAMP-mediated signaling","BP","cAMP-mediated signaling","signal transduction","P","PGEN_.00g268760; PGEN_.00g007340; PGEN_.00g101290; PGEN_.00g059160","Q9EQZ6; Q08499; P14099; C6KFA3","RPGF4_MOUSE; PDE4D_HUMAN; PDE2A_BOVIN; AGRG6_DANRE","Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII); cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43); cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE); Adhesion G-protein coupled receptor G6 (G-protein coupled receptor 126) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]","Day135"
